"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","1999","28874","279040238","10.35","10.3014615827977"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2000","28663","282171936","10.16","10.1075159454402"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2001","29573","285081556","10.37","10.3059312142575"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2002","30242","287803914","10.51","10.4283080891866"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2003","30136","290326418","10.38","10.2804535631042"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2004","29569","293045739","10.09","9.98390606414468"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2005","30694","295753151","10.38","10.2648210031631"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2006","30896","298593212","10.35","10.2162569608512"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2007","31224","301579895","10.35","10.2281491652877"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2008","31593","304374846","10.38","10.2263722014197"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2009","31347","307006550","10.21","10.0505971844236"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2010","31672","308747508","10.26","10.0708021304884"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2011","32351","311718857","10.38","10.1590104745616"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2012","33563","314102623","10.69","10.4428825733437"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2013","33636","316427395","10.63","10.3675091466603"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2014","33594","318907401","10.53","10.24972808583"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","2015","36252","321418820","11.28","11.0058828949867"
"Both Sexes","All Races","United States","Both","All Ages","1999","2015","Firearm","","533879","5116100059","10.44","."
